CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-513,"Kings, Tulare Counties CoC",18-24,280
2017,CA-513,"Kings, Tulare Counties CoC",25-34,586
2017,CA-513,"Kings, Tulare Counties CoC",35-44,525
2017,CA-513,"Kings, Tulare Counties CoC",45-54,418
2017,CA-513,"Kings, Tulare Counties CoC",55-64,280
2017,CA-513,"Kings, Tulare Counties CoC",65+,79
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,777
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,41
2017,CA-514,"Fresno, Madera Counties CoC",18-24,155
2017,CA-514,"Fresno, Madera Counties CoC",25-34,293
2017,CA-514,"Fresno, Madera Counties CoC",35-44,291
2017,CA-514,"Fresno, Madera Counties CoC",45-54,338
2017,CA-514,"Fresno, Madera Counties CoC",55-64,340
2017,CA-514,"Fresno, Madera Counties CoC",65+,90
2017,CA-514,"Fresno, Madera Counties CoC",Under 18,685
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,27
2017,CA-515,Placer County CoC,18-24,94
2017,CA-515,Placer County CoC,25-34,217
2017,CA-515,Placer County CoC,35-44,223
2017,CA-515,Placer County CoC,45-54,232
2017,CA-515,Placer County CoC,55-64,198
2017,CA-515,Placer County CoC,65+,55
2017,CA-515,Placer County CoC,Under 18,253
2017,CA-515,Placer County CoC,Unknown,17
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,22
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,58
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,43
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,23
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,20
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,75
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,*
2017,CA-517,Napa County CoC,18-24,85
2017,CA-517,Napa County CoC,25-34,199
2017,CA-517,Napa County CoC,35-44,156
2017,CA-517,Napa County CoC,45-54,183
2017,CA-517,Napa County CoC,55-64,147
2017,CA-517,Napa County CoC,65+,27
2017,CA-517,Napa County CoC,Under 18,174
2017,CA-517,Napa County CoC,Unknown,*
2017,CA-518,Solano County CoC,18-24,72
2017,CA-518,Solano County CoC,25-34,163
2017,CA-518,Solano County CoC,35-44,145
2017,CA-518,Solano County CoC,45-54,158
2017,CA-518,Solano County CoC,55-64,175
